eventId,title,categories
1,Air Show 2026,Aviation|Outdoor|Exhibition
2,Macrofinance Summit,Finance|Conference|Economics
3,Python for Finance Workshop,Tech|Finance|Education
4,Startup Networking Night,Networking|Business
5,Equity Research Webinar,Finance|Online|Education
6,Global Aviation Safety Forum,Aviation|Corporate|Seminar
7,Jazz in the Park,Music|Outdoor|Social
8,Frontier Markets Gala,Finance|Social|Networking
9,AI in Aviation Symposium,Tech|Aviation|Conference
10,Real-time Data Visualization Class,Tech|Education
11,Central Bank Policy Discussion,Finance|Politics|Seminar
12,Midnight Comedy Showcase,Entertainment|Social
13,Fleet Management Expo,Aviation|Business|Trade
14,Venture Capital Mixer,Finance|Networking
15,Drone Racing Championship,Aviation|Tech|Competition
16,Avertithon,Aviation|Tech|Competition
